id	question	question_alt	question_test_case
1	我的卡片資訊	"(卡片)(資訊)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""我的卡片資訊""}
"	"我的卡片資訊
"
2	查詢我的本期帳單應交金額及繳款日	"(帳單)(應交)(金額)(及)(繳款)(日)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢我的本期帳單應交金額及繳款日""}
"	"查詢我的本期帳單應交金額及繳款日
"
3	請補寄我的電子月結單。	"(請)(補)(寄)(電子)(月結單)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""請補寄我的電子月結單。""}
(補)(寄)(電子)(月結單)	 // {""alt.editor"":""3"",""testCase.editor"":""3"",""testCase"":""補寄我的電子月結單""}
"	"請補寄我的電子月結單。
補寄我的電子月結單
"
4	最夯權益都在這	"(信用卡)(有哪些)(權益)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡有哪些權益""}
(最)(夯)(權益)(都)(這)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""最夯權益都在這""}
"	"信用卡有哪些權益
最夯權益都在這
"
5	申請帳單分期與信貸	"(申請)(帳單)(分期)(與)(信貸)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""申請帳單分期與信貸""}
"	"申請帳單分期與信貸
"
6	我的繳款紀錄。	"(繳款)(紀錄)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""我的繳款紀錄。""}
"	"我的繳款紀錄。
"
9	查詢緊急公告內容	"(首頁)(公告)(通知)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢首頁公告通知""}
(緊急)(公告)(通知)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢緊急公告通知""}
"	"查詢首頁公告通知
查詢緊急公告通知
"
10000011	我的信用卡點數會過期嗎	"(永久)(額度)(調高)(申請)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""永久額度調高申請方式""}
(信用卡)(點數)(會)(過期)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""我的信用卡點數會過期嗎？""}"	"永久額度調高申請方式
我的信用卡點數會過期嗎？
"
10000012	臨時額度調高申請方式	"(臨時)(額度)(調高)(申請)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""臨時額度調高申請方式""}
(如何)(申請)(調高)(臨時)(額度) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""如何申請調高臨時額度？""}
"	"臨時額度調高申請方式
如何申請調高臨時額度？
"
10000013	查詢帳單繳款截止日	"(最近)(一期)(帳單)(最晚)(什麼)(時候)(要)(繳款) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""我最近一期帳單最晚什麼時候要繳款？""}
(帳單)(繳款)(期限)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢帳單繳款截止日""}
"	"我最近一期帳單最晚什麼時候要繳款？
查詢帳單繳款截止日
"
10000014	信用卡有效期限查詢	"(信用卡)(期限)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡有效期限查詢""}
(如何)(辨別)(信用卡)(期限)(與)(識別碼) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""如何辨別信用卡有效期限與識別碼？""}
"	"信用卡有效期限查詢
如何辨別信用卡有效期限與識別碼？
"
10000015	為什麼我的卡片跟你們顯示的不同	"(為什麼)(手上)(卡片)(顯示)(圖案)(不同) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""為什麼我手上的卡片跟你們顯示的圖案不同？""}
(為什麼)(卡片)(顯示)(不同)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""為什麼我的卡片跟你們顯示的不同""}
"	"為什麼我手上的卡片跟你們顯示的圖案不同？
為什麼我的卡片跟你們顯示的不同
"
10000021	行動生活家app啟用推播通知方式	"(行動生活家)(啟用)(推播)(通知)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""行動生活家app啟用推播通知方式""}
(可以)(一筆)(刷卡)(消費)(都)(通知)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""可以每一筆刷卡消費都通知我嗎？""}
"	"行動生活家app啟用推播通知方式
可以每一筆刷卡消費都通知我嗎？
"
10000022	推播帳單到期提醒功能	"(推播)(帳單)(期限)(提醒)(功能)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""推播帳單到期提醒功能""}
(帳單)(期限)(時)(可以)(提醒)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""帳單到期時可以提醒我嗎？""}
"	"推播帳單到期提醒功能
帳單到期時可以提醒我嗎？
"
10000023	信用卡爭議帳款申訴流程	"(信用卡)(爭議帳款)(申訴)(流程)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡爭議帳款申訴流程""}
(帳單)(明細)(有)(不是)(消費)(怎麼辦) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""帳單明細有不是我的消費怎麼辦？""}
"	"信用卡爭議帳款申訴流程
帳單明細有不是我的消費怎麼辦？
"
10000024	信用卡國外交易手續費	"(信用卡)(國外)(交易)(手續費)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡國外交易手續費""}
(國外)(交易)(手續費)(怎麼)(算) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""國外交易手續費怎麼算？""}
"	"信用卡國外交易手續費
國外交易手續費怎麼算？
"
10000025	暫停當期帳單自動扣款	"(暫停)(當期)(帳單)(自動扣款)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""暫停當期帳單自動扣款""}
(已經)(先)(繳款)(要)(通知)(暫停)(自動扣款)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""我已經先繳款，要通知你們暫停本期自動扣款嗎？""}
"	"暫停當期帳單自動扣款
我已經先繳款，要通知你們暫停本期自動扣款嗎？
"
10000031	補寄非當期信用卡電子帳單	"(可以)(補)(寄)(月份)(帳單)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""可以補寄其他月份的帳單嗎？""}
(補)(寄)(非)(當期)(信用卡)(電子帳單)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""補寄非當期信用卡電子帳單""}
"	"可以補寄其他月份的帳單嗎？
補寄非當期信用卡電子帳單
"
10000032	信用卡電子帳單開啟密碼	"(信用卡)(電子帳單)(開啟)(密碼)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡電子帳單開啟密碼""}
(開啟)(電子)(月結單)(密碼)(是)(什麼) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""開啟電子月結單的密碼是什麼？""}
"	"信用卡電子帳單開啟密碼
開啟電子月結單的密碼是什麼？
"
10000033	補寄電子帳單費用	"(補)(寄)(電子帳單)(費用)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""補寄電子帳單費用""}
(補)(寄)(電子)(月結單)(要)(收費)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""補寄電子月結單要收費嗎？""}
"	"補寄電子帳單費用
補寄電子月結單要收費嗎？
"
10000034	信用卡電子帳單未收到原因	"(信用卡)(電子帳單)(未)(收到)(原因)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡電子帳單未收到原因""}
(為什麼)(常)(收不到)(電子)(月結單) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""為什麼常收不到電子月結單？""}
"	"信用卡電子帳單未收到原因
為什麼常收不到電子月結單？
"
