id	question	question_alt	question_test_case	answer	not_for_mlt	not_for_search	not_append_mlt
1	我的卡片資訊	"(卡片)(資訊)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""我的卡片資訊""}
"	"我的卡片資訊
"	好的，這是您名下的卡片資訊。	true	true	true
2	查詢我的本期帳單應交金額及繳款日	"(帳單)(應交)(金額)(及)(繳款)(日)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢我的本期帳單應交金額及繳款日""}
"	"查詢我的本期帳單應交金額及繳款日
"	好的，這是您名下所有信用卡的帳務資訊。	true	true	true
3	請補寄我的電子月結單。	"(請)(補)(寄)(電子)(月結單)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""請補寄我的電子月結單。""}
(補)(寄)(電子)(月結單)	 // {""alt.editor"":""3"",""testCase.editor"":""3"",""testCase"":""補寄我的電子月結單""}
"	"請補寄我的電子月結單。
補寄我的電子月結單
"		true	true	true
4	最夯權益都在這	"(最)(夯)(權益)(都)(這)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""最夯權益都在這""}
"	"最夯權益都在這
"	精選全球優惠，貼近你的需求。	true	true	true
5	申請帳單分期與信貸	"(申請)(帳單)(分期)(與)(信貸)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""申請帳單分期與信貸""}
"	"申請帳單分期與信貸
"		true	true	true
6	我的繳款紀錄。	"(繳款)(紀錄)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""我的繳款紀錄。""}
"	"我的繳款紀錄。
"	好的，以下是您的繳款紀錄。	true	true	true
9	查詢緊急公告內容	"(首頁)(公告)(通知)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢首頁公告通知""}
(緊急)(公告)(通知)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢緊急公告通知""}
"	"查詢首頁公告通知
查詢緊急公告通知
"	好的，以下為緊急公告資訊。	true	true	true
10000011	永久額度調高申請方式	"(永久)(額度)(調高)(申請)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""永久額度調高申請方式""}
"	"永久額度調高申請方式
"	"簡單3步驟，申請永久額度調高
<img src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-21/1550726409426.png"" style=""height:177px; width:315px"" />
前往連結網頁，立即申請：

﹝1﹞iPhone <a class=""answer-link"" href=""http://www.citibank.com.tw/CLI"" target=""_blank"">請點我</a>

﹝2﹞Android <a class=""answer-link"" href=""http://www.citibank.com.tw/CLIC"" target=""_blank"">請點我</a>

<span style=""font-size:16px""><span style=""color:rgb(192	 0	 0)"">❤</span></span>審核約需<span style=""color:rgb(74	 111	 156)"">5個工作天</span>，調整結果會寄發簡訊通知您"	true	true	true
10000012	臨時額度調高申請方式	"(臨時)(額度)(調高)(申請)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""臨時額度調高申請方式""}
"	"臨時額度調高申請方式
"	"持卡滿6個月以上，可透過電話理財中心申請調高臨時額度。

<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>調整時間最長30天，且不能刷分期交易唷！
<ul>
	<li><a class=""answer-link"" href=""tel:02-2183-8585"" target=""_blank"">立即申請</a></li>
</ul>
"	true	true	true
10000013	查詢帳單繳款截止日	"(帳單)(繳款)(期限)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢帳單繳款截止日""}
"	"查詢帳單繳款截止日
"	請直接連結功能選單的【{{F:BillInfoLink}}】	true	true	true
10000014	信用卡有效期限查詢	"(信用卡)(期限)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡有效期限查詢""}
"	"信用卡有效期限查詢
"	"請拿出您的卡片並參考下圖範例：
有效期限：12/21=2021年12月
<img src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550831645417.png"" style=""height:102px; width:160px"" /><img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550831796112.png"" style=""height:101px; width:160px"" />
識別碼（CVV）：720
<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550831815218.png"" style=""height:101px; width:160px"" />"	true	true	true
10000015	為什麼我的卡片跟你們顯示的不同	"(為什麼)(卡片)(顯示)(不同)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""為什麼我的卡片跟你們顯示的不同""}
"	"為什麼我的卡片跟你們顯示的不同
"	"別擔心，本行於2018年10月起，陸續將信用卡升級為感應式晶片卡，且會同時更換新卡面唷！

※信用卡有效期限到期時，會自動為您換發新卡唷~"	true	true	true
10000021	行動生活家app啟用推播通知方式	"(行動生活家)(啟用)(推播)(通知)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""行動生活家app啟用推播通知方式""}
"	"行動生活家app啟用推播通知方式
"	"可以！<span style=""color:rgb(247	 150	 70)"">簡單4步驟</span>立即設定消費通知，讓您越刷越安心 ~
（1）返回<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550791672119.png"" style=""height:28px; width:30px"" />點選左上方選單<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-21/1550729040683.png"" style=""height:30px; width:30px"" />
（2）點選【設定】&rarr;啟用推播通知
（3）點選【管理推播通知】
（4）勾選【信用卡消費通知】&rarr;啟用成功
<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>一隻手機僅能綁定一個網路使用者代號"	true	true	true
10000022	推播帳單到期提醒功能	"(推播)(帳單)(期限)(提醒)(功能)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""推播帳單到期提醒功能""}
"	"推播帳單到期提醒功能
"	"可以！<span style=""color:#F79646"">簡單4步驟</span>立即設定帳單到期通知，讓您帳單不漏繳 ~
（1）返回<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550791672119.png"" style=""height:28px; width:30px"" />點選左上方選單<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-21/1550729040683.png"" style=""height:30px; width:30px"" />
（2）點選【設定】&rarr;啟用推播通知
（3）點選【管理推播通知】
（4）勾選【帳單到期提醒】&rarr;啟用成功
<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>一隻手機僅能綁定一個網路使用者代號
<span style=""font-size:14px"">※帳單到期通知會在繳款截止日前1工作日發送，若已繳足最低應繳金額就不會收到通知囉~</span>"	true	true	true
10000023	信用卡爭議帳款申訴流程	"(信用卡)(爭議帳款)(申訴)(流程)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡爭議帳款申訴流程""}
"	"信用卡爭議帳款申訴流程
"	"別擔心~ 請點選【客服即時通】由專員立即為您查詢消費明細。
<ul>
	<li><a class=""answer-link"" href=""http://${transfer}"" target=""_blank"">客服即時通</a></li>
</ul>
"	true	true	true
10000024	信用卡國外交易手續費	"(信用卡)(國外)(交易)(手續費)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡國外交易手續費""}
"	"信用卡國外交易手續費
"	"只要收單銀行在國外，不論當時以外幣或新臺幣交易，皆會收取國外交易手續費1.5%。
<span style=""color:rgb(106	 147	 197)"">範例：NT$1000x1.5%=NT$15</span>"	true	true	true
10000025	暫停當期帳單自動扣款	"(暫停)(當期)(帳單)(自動扣款)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""暫停當期帳單自動扣款""}
"	"暫停當期帳單自動扣款
"	"要通知我們唷，請點選【客服即時通】由專員為您暫停本期自動扣款。

<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>請務必於繳款截止日<span style=""color:rgb(92	138	193)""><strong>前</strong>3個工作天</span>提出申請
<ul>
	<li><a class=""answer-link"" href=""http://${transfer}"" target=""_blank"">客服即時通</a></li>
</ul>
"	true	true	true
10000031	補寄非當期信用卡電子帳單	"(補)(寄)(非)(當期)(信用卡)(電子帳單)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""補寄非當期信用卡電子帳單""}
"	"補寄非當期信用卡電子帳單
"	"當然沒問題！請點選【客服即時通】由專員立即為您補寄。
<ul>
	<li><a class=""answer-link"" href=""http://${transfer}"" target=""_blank"">客服即時通</a></li>
</ul>
"	true	true	true
10000032	信用卡電子帳單開啟密碼	"(信用卡)(電子帳單)(開啟)(密碼)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡電子帳單開啟密碼""}
"	"信用卡電子帳單開啟密碼
"	"開啟電子月結單的密碼如下：
【本國人】=身份證字號
　　　　　例如：<strong><span style=""color:rgb(106	 147	 197)"">Ａ</span></strong>123456789

【外籍人士】=性別＋西元出生年月日
　　　　　男：<strong><span style=""color:rgb(106	 147	 197)"">Ｍ</span></strong>19800723
　　　　　女：<strong><span style=""color:rgb(106	 147	 197)"">Ｆ</span></strong>19771019

※英文字母須<span style=""color:rgb(106	 147	 197)"">大寫</span>唷~"	true	true	true
10000033	補寄電子帳單費用	"(補)(寄)(電子帳單)(費用)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""補寄電子帳單費用""}
"	"補寄電子帳單費用
"	請您放心，補寄電子月結單不收取任何費用唷~	true	true	true
10000034	信用卡電子帳單未收到原因	"(信用卡)(電子帳單)(未)(收到)(原因)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡電子帳單未收到原因""}
"	"信用卡電子帳單未收到原因
"	"收不到電子月結單常見原因如下：
（1）本期帳單無新增交易﹝也無繳款紀錄﹞
且繳款金額=0，則不會寄送電子月結單

（2）郵件被阻擋：
建議將花旗電子信箱加為【聯絡人】
避免落入垃圾郵件
<span style=""color:rgb(92	 138	 193)"">estatement@citibank.com.tw
twcitiphone@citi.com</span>

（3）郵件被收合：
若信箱有設定交談(outlook/Yahoo) 或會話群組檢視功能(Gmail) 則 電子月結單會被放在同一信件
範例 :<img src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550837609590.png"" style=""height:107px; width:350px"" />"	true	true	true
